cvegeo,localidad,POBTOT,TVIVPAR,VIVPAR_HAB,VIVPAR_DES,VIVPAR_UT,vivpar_ut_pct,semaforo_ut,listings_bruta,listings_ajustada,penetracion_pct,asignaciones_ambiguas,vector_asamblea,celdas_reservadas,sin_dato_censal
230080308192A,Puerto Aventuras,672,202.0,188.0,9.0,5.0,2.48,verde,,,,,,0,False
230080001228A,Playa del Carmen,1271,324.0,116.0,200.0,8.0,2.47,verde,,,,,,0,False
2300800010762,Playa del Carmen,4090,1268.0,1059.0,178.0,31.0,2.44,verde,,,,,,0,False
2300800011544,Playa del Carmen,3500,997.0,882.0,91.0,24.0,2.41,verde,,,,,,0,False
2300800011050,Playa del Carmen,5957,1648.0,1509.0,100.0,39.0,2.37,verde,,,,,,0,False
230080001139A,Playa del Carmen,3951,1138.0,964.0,149.0,25.0,2.2,verde,,,,,,0,False
2300800011968,Playa del Carmen,3653,1171.0,1019.0,127.0,25.0,2.13,verde,,,,,,0,False
2300800010334,Playa del Carmen,3674,1131.0,937.0,170.0,24.0,2.12,verde,,,,,,0,False
2300800012364,Playa del Carmen,2934,763.0,631.0,116.0,16.0,2.1,verde,,,,,,0,False
2300800012453,Playa del Carmen,1453,523.0,184.0,328.0,11.0,2.1,verde,,,,,,0,False
2300800012400,Playa del Carmen,82,444.0,19.0,416.0,9.0,2.03,verde,,,,,,0,False
2300800012078,Playa del Carmen,1509,432.0,410.0,14.0,8.0,1.85,verde,,,,,,0,False
2300800011474,Playa del Carmen,887,273.0,216.0,52.0,5.0,1.83,verde,,,,,,0,False
2300800010828,Playa del Carmen,1864,717.0,589.0,115.0,13.0,1.81,verde,,,,,,0,False
2300800011578,Playa del Carmen,7504,2496.0,2225.0,227.0,44.0,1.76,verde,,,,,,0,False
2300800010989,Playa del Carmen,10724,3557.0,3151.0,346.0,60.0,1.69,verde,,,,,,0,False
2300800011883,Playa del Carmen,240,178.0,79.0,96.0,3.0,1.69,verde,,,,,,0,False
2300803081830,Puerto Aventuras,4426,1331.0,1207.0,102.0,22.0,1.65,verde,,,,,,0,False
2300800011826,Playa del Carmen,2698,738.0,661.0,65.0,12.0,1.63,verde,,,,,,0,False
2300803081722,Puerto Aventuras,2528,684.0,577.0,96.0,11.0,1.61,verde,,,,,,0,False
2300803081718,Puerto Aventuras,2682,831.0,727.0,91.0,13.0,1.56,verde,,,,,,0,False
